Indicator,Total seagrass abundance all species
Unit,Average total seagrass abundace per site
Year,Total seagrass abundance all species
1995,3.61826087
1996,3.577211538
1997,3.766553509
1998,3.794630872
1999,3.242153846
2000,2.997047619
2001,3.385682796
2002,3.795413333
2003,4.541411667
2004,4.174981513
2005,4.026912752
2006,3.628679167
2007,3.093975
2008,3.585298333
2009,3.8802725
2010,3.913864368
2011,3.908722689
2012,4.087860169
2013,3.72309625
2014,3.889226761
2015,3.407063768
2016,3.398388095
2017,3.003010753
2018,2.63836625
